,Loss
0,0.59028286
1,0.4779871
2,0.4154427
3,0.36069888
4,0.31592566
5,0.2763816
6,0.24514773
7,0.21107525
8,0.18766618
9,0.16257456
10,0.15101036
11,0.13468464
12,0.12310961
13,0.11352171
14,0.10131958
15,0.09157519
16,0.08685345
17,0.076071344
18,0.07189383
19,0.06628621
20,0.05951876
21,0.05384242
22,0.04937772
23,0.046709377
24,0.045563675
25,0.04580183
26,0.040888503
27,0.03705729
28,0.034136306
29,0.0318583
30,0.029478472
31,0.025090748
32,0.023770321
33,0.023045935
34,0.022711545
35,0.021342428
36,0.023621978
37,0.025184989
38,0.024810389
39,0.017921166
40,0.013777327
41,0.010376048
42,0.009348066
43,0.0098899035
44,0.05646651
45,0.05195871
46,0.019350834
47,0.010850001
48,0.0073446697
49,0.005290473
